Array_Size,Rank,Time,Subsample_Size
16,64,0.001438,15
16,64,0.001392,15
32,64,0.001643,15
32,64,0.001439,15
64,64,0.001418,15
64,64,0.001428,15
128,64,0.001564,15
128,64,0.001598,15
256,64,0.001412,15
256,64,0.001446,15
512,64,0.001531,15
512,64,0.001965,15
1024,64,0.001516,15
1024,64,0.001672,15
2048,64,0.001616,15
2048,64,0.002450,15
4096,64,0.001596,15
4096,64,0.001642,15
8192,64,0.001592,15
8192,64,0.001705,15
16384,64,0.001748,15
16384,64,0.001851,15
32768,64,0.001918,15
32768,64,0.002107,15
65536,64,0.002491,15
65536,64,0.003304,15
131072,64,0.003257,15
131072,64,0.003560,15
262144,64,0.006099,15
262144,64,0.038694,15
524288,64,0.008467,15
524288,64,0.010197,15
1048576,64,0.018066,15
1048576,64,0.021082,15
2097152,64,0.051341,15
2097152,64,0.051242,15
4194304,64,0.114841,15
4194304,64,0.115440,15
8388608,64,0.233615,15
8388608,64,0.233470,15
16777216,64,0.470830,15
16777216,64,0.471197,15
33554432,64,0.954706,15
33554432,64,0.958382,15
67108864,64,1.989254,15
67108864,64,2.240533,15
134217728,64,4.037355,15
134217728,64,4.048367,15
268435456,64,8.073192,15
268435456,64,8.120810,15
536870912,64,16.187144,15
536870912,64,16.316889,15
1073741824,64,33.416913,15
1073741824,64,33.693209,15
16,64,0.001456,15
16,64,0.001646,15
32,64,0.001914,15
32,64,0.001978,15
64,64,0.001572,15
64,64,0.001569,15
128,64,0.001493,15
128,64,0.001570,15
256,64,0.001611,15
256,64,0.001546,15
512,64,0.001621,15
512,64,0.001478,15
1024,64,0.001799,15
1024,64,0.001658,15
2048,64,0.001926,15
2048,64,0.002016,15
4096,64,0.002066,15
4096,64,0.001988,15
8192,64,0.001632,15
8192,64,0.001683,15
16384,64,0.001761,15
16384,64,0.001843,15
32768,64,0.002067,15
32768,64,0.001974,15
65536,64,0.002385,15
65536,64,0.002432,15
131072,64,0.003312,15
131072,64,0.003338,15
262144,64,0.005416,15
262144,64,0.005258,15
