Array_Size,Rank,Time,Subsample_Size
16,0,0.000002,15
32,0,0.000002,15
64,0,0.000003,15
128,0,0.000005,15
256,0,0.000008,15
512,0,0.000014,15
1024,0,0.000032,15
2048,0,0.000091,15
4096,0,0.000162,15
8192,0,0.000329,15
16384,0,0.000614,15
32768,0,0.001295,15
65536,0,0.002798,15
131072,0,0.005878,15
262144,0,0.012385,15
524288,0,0.026073,15
1048576,0,0.057327,15
2097152,0,0.138835,15
4194304,0,0.305864,15
8388608,0,0.633743,15
16777216,0,1.313602,15
33554432,0,2.719787,15
67108864,0,5.572225,15
134217728,0,11.469072,15
268435456,0,23.564041,15
536870912,0,48.876954,15
1073741824,0,100.447871,15
16,0,0.000002,15
32,0,0.000003,15
64,0,0.000003,15
128,0,0.000005,15
256,0,0.000009,15
512,0,0.000017,15
1024,0,0.000035,15
2048,0,0.000072,15
4096,0,0.000176,15
8192,0,0.000336,15
16384,0,0.000650,15
32768,0,0.001312,15
65536,0,0.002783,15
131072,0,0.005878,15
262144,0,0.012568,15
524288,0,0.026222,15
1048576,0,0.056909,15
2097152,0,0.137678,15
4194304,0,0.309021,15
8388608,0,0.638826,15
16777216,0,1.316127,15
33554432,0,2.730154,15
67108864,0,5.578679,15
134217728,0,11.482315,15
268435456,0,23.641792,15
536870912,0,48.502537,15
1073741824,0,100.454547,15
